source_number,phrase,link
1,"August 25, 1955 country-team cable",https://history.state.gov/historicaldocuments/frus1955-57v01/d251
2,"November 1961 memorandum",https://history.state.gov/historicaldocuments/frus1961-63v01/d259
3,"Michigan State oral-history interview",https://onthebanks.msu.edu/Object/158-545-215/transcript-with-ralph-smuckler-on-september-26-2000/
4,"United States Policies and Programs in Brazil",https://pdf.usaid.gov/pdf_docs/Pcaac300.pdf
5,"Public Safety Project evaluation",https://pdf.usaid.gov/pdf_docs/PDABB637.pdf
6,"March 1969 White House memorandum",https://history.state.gov/historicaldocuments/frus1969-76ve10/d119
