source_number,phrase,link
1,National Security Action Memorandum 177,https://www.jfklibrary.org/asset-viewer/archives/JFKNSF/338/JFKNSF-338-004
2,"NSAM 132, signed February 19, 1962",https://history.state.gov/historicaldocuments/frus1961-63v08/d72
3,NSAM 162,https://history.state.gov/historicaldocuments/frus1961-63v08/d91
4,published Foreign Relations memorandum,https://history.state.gov/historicaldocuments/frus1961-63v08/d99
5,The Blueprint Pt. 1: The CIA's Global Coup Machine,https://thewhiterabbitreport.substack.com/p/blueprint-for-empire-cia-coups-history-1950s-1970s
6,The Phoenix Program: The Template for Endless Wars,https://thewhiterabbitreport.substack.com/p/phoenix-program-template-for-endless-wars-operation-gladio
7,False Profits: The Chemonics–USAID Scandal,https://thewhiterabbitreport.substack.com/p/false-profits-the-chemonics-usaid
