source_number,phrase,link
1,"National Security Action Memorandum 177",https://www.jfklibrary.org/asset-viewer/archives/JFKNSF/338/JFKNSF-338-004
2,"CIA-RDP80B01083A000100120014-7",https://www.cia.gov/readingroom/docs/CIA-RDP80B01083A000100120014-7.pdf
3,"CIA-held Pike report reproduction",https://www.cia.gov/readingroom/docs/CIA-RDP03-01541R000200420004-8.pdf
4,"Rockefeller Commission's 1975 report",https://www.fordlibrarymuseum.gov/LIBRARY/document/0005/1561495.pdf
5,"Family Jewels collection",https://www.cia.gov/readingroom/docs/DOC_0001451843.pdf
